Marque,Nom,Référence,Condition,Boîte,Papiers,Prix
OMEGA,Seamaster Planet Ocean,215.30.46.51.01.001,Excellent,Yes,Yes,"$6,350"
OMEGA,Seamaster 300M,2254.50.00,Excellent,No,No,"$3,750"
Breitling,Chronomat 01,AB0136,Excellent,Yes,Yes,"$5,750"
OMEGA,Seamaster Aqua Terra,220.10.41.21.03.004,Excellent,Yes,Yes,"$4,800"
Panerai,Luminor Base,PAM 915,Excellent,Yes,Yes,"$6,050"
Grand Seiko,Elegance GMT,SBGM241,Excellent,Yes,Yes,"$4,900"
OMEGA,Speedmaster Moonwatch Anniversary Series,311.30.42.30.01.001,Excellent,No,No,"$6,225"
Breitling,Super Avenger II,A13371,Excellent,Yes,Yes,"$3,500"
Rolex,Explorer,214270,Excellent,Yes,Yes,"$10,700"
Rolex,GMT-Master II,126710,Excellent,Yes,Yes,"$20,000"
OMEGA,Seamaster 300M,210.90.42.20.01.001,Excellent,Yes,Yes,"$8,250"
Nomos,Zurich,807,Excellent,Yes,Yes,"$4,300"
Rolex,Sea-Dweller,126600,Excellent,Yes,Yes,"$15,000"
Grand Seiko,Heritage Hi-Beat 36000,SBGJ001,Excellent,Yes,Yes,"$3,950"
Grand Seiko,Heritage Spring Drive,SBGA469,Excellent,Yes,Yes,"$4,700"
Grand Seiko,Elegance Hi-Beat 36000,SBGJ251,Excellent,Yes,Yes,"$5,700"
OMEGA,Seamaster Aqua Terra,220.13.41.21.10.001,Excellent,Yes,Yes,"$4,600"
Breitling,Montbrillant,A35330,Excellent,No,No,"$3,825"
OMEGA,Speedmaster Professional Moonwatch,311.30.42.30.01.005,Excellent,Yes,Yes,"$5,400"
IWC,Portuguese,IW3714-01,Excellent,Yes,Yes,"$5,025"
Tudor,Heritage Ranger,79950,Excellent,Yes,Yes,"$3,500"
Tudor,Black Bay Pro,79470,Excellent,Yes,Yes,"$3,600"
Tudor,Heritage Black Bay,79540,Excellent,Yes,Yes,"$2,950"
Tudor,Black Bay Pro,79470,Excellent,Yes,Yes,"$4,200"
Breitling,Avenger,A32397,Excellent,Yes,Yes,"$3,150"
TAG Heuer,Aquaracer,WAY2013,Excellent,No,No,"$2,250"
Breitling,SuperOcean,N17376,Excellent,Yes,Yes,"$5,000"
Tudor,Heritage Black Bay,79250,Excellent,Yes,Yes,"$3,250"
Tudor,Heritage Black Bay,79250,Excellent,Yes,Yes,"$3,200"
Grand Seiko,Elegance GMT,SBGM239,Excellent,No,No,"$4,700"
Tudor,Heritage Black Bay Fifty-Eight,79030,Excellent,Yes,Yes,"$3,900"
Tudor,Heritage Black Bay,79500,Excellent,Yes,Yes,"$3,150"
Cartier,Tank Francaise,W51008Q3,Excellent,No,No,"$2,700"
Zenith,El Primero,03.2043.4052,Excellent,Yes,Yes,"$5,500"
OMEGA,Seamaster Planet Ocean,2201.50.00,Excellent,No,No,"$4,300"
OMEGA,Seamaster 300M,210.30.42.20.01.001,Excellent,Yes,Yes,"$4,150"
Grand Seiko,Heritage Spring Drive,SBGA211,Excellent,Yes,Yes,"$5,100"
OMEGA,Seamaster Aqua Terra,220.10.38.20.02.001,Excellent,Yes,Yes,"$4,600"
Breitling,Avenger,A13317,Excellent,Yes,Yes,"$4,100"
Rolex,Submariner,14060,Excellent,Yes,Yes,"$9,800"
Rolex,Oyster Perpetual,176200,Excellent,No,No,"$4,600"
Rolex,Milgauss,116400,Excellent,No,No,"$13,300"
Zenith,Defy El Primero 21,95.9000.9004,Excellent,Yes,Yes,"$8,050"
IWC,Portuguese,IW3716-01,Excellent,Yes,Yes,"$7,550"
Panerai,Luminor Marina Logo,PAM 005,Excellent,No,No,"$5,000"
Panerai,Luminor Marina,PAM 050,Excellent,No,No,"$5,050"
Rolex,Yacht-Master II,116680,Excellent,Yes,Yes,"$18,000"
OMEGA,Speedmaster Moonwatch,311.32.40.30.01.001,Excellent,No,No,"$5,950"
OMEGA,Seamaster 300,233.90.41.21.03.001,Excellent,Yes,Yes,"$6,250"
OMEGA,De Ville Prestige,424.20.33.20.13.001,Excellent,Yes,Yes,"$4,150"
Cartier,Santos Galbee,W20011C4,Excellent,No,No,"$3,800"
IWC,Pilot,IW3777-09,Excellent,Yes,Yes,"$4,400"
Rolex,Datejust II,116334,Excellent,No,No,"$13,600"
Rolex,Yacht-Master,168623,Excellent,Yes,Yes,"$11,200"
Rolex,Daytona,116520,Excellent,Yes,Yes,"$28,900"
Rolex,Yacht-Master,116622,Excellent,Yes,Yes,"$14,000"
Rolex,Oyster Perpetual,116000,Excellent,Yes,Yes,"$7,600"
Rolex,Oyster Perpetual,114200,Excellent,Yes,Yes,"$6,900"
Rolex,Submariner,126610,Excellent,No,No,"$14,600"
Rolex,Datejust,16233,Excellent,Yes,Yes,"$7,200"
Rolex,Datejust,16233,Excellent,No,No,"$6,900"
Rolex,Datejust,116200,Excellent,Yes,Yes,"$7,700"
Rolex,Datejust,126334,Excellent,Yes,Yes,"$12,800"
Breitling,Aviator 8,AB0119,Excellent,Yes,Yes,"$4,300"
OMEGA,Constellation,123.10.24.60.55.002,Excellent,No,No,"$2,100"
Tudor,Black Bay 36 S&G,79503,Excellent,Yes,Yes,"$3,500"
Panerai,Submersible,PAM 1288,Excellent,Yes,Yes,"$10,500"
Rolex,Datejust,126333,Excellent,Yes,Yes,"$14,500"
Rolex,Explorer,14270,Excellent,No,No,"$6,950"
OMEGA,Speedmaster Professional Moonwatch,310.32.42.50.01.001,Excellent,Yes,Yes,"$5,850"
Rolex,Milgauss,116400,Excellent,Yes,Yes,"$9,600"
OMEGA,Speedmaster Moonwatch,311.32.40.30.01.001,Excellent,Yes,Yes,"$5,700"
Rolex,Oyster Perpetual,116000,Excellent,Yes,Yes,"$7,500"
Breitling,Avenger Blackbird,V17310,Excellent,Yes,Yes,"$3,600"
Hublot,Big Bang Evolution,301.SM.1770.RX,Excellent,Yes,Yes,"$7,600"
Grand Seiko,Sport Spring Drive,SBGE255,Excellent,Yes,Yes,"$5,200"
Grand Seiko,Heritage Spring Drive,SBGA413,Excellent,Yes,Yes,"$6,100"
Breitling,Super Avenger II,A13371,Excellent,Yes,Yes,"$4,400"
Cartier,Tank Must,WSTA0040,Excellent,No,No,"$4,000"
Grand Seiko,Heritage Spring Drive,SBGA211,Excellent,Yes,Yes,"$5,100"
Rolex,Oyster Perpetual,126000,Excellent,No,No,"$9,800"
Rolex,Datejust,126300,Excellent,No,No,"$10,200"
Rolex,Sky-Dweller,326934,Excellent,Yes,Yes,"$21,000"
Rolex,Datejust,126333,Excellent,Yes,Yes,"$17,000"
Rolex,Air-King,116900,Excellent,No,No,"$8,650"
OMEGA,Speedmaster Racing,326.30.40.50.04.001,Excellent,No,No,"$3,600"
Panerai,Luminor Marina,PAM 104,Excellent,Yes,Yes,"$5,250"
OMEGA,Seamaster Planet Ocean,215.30.44.21.01.001,Excellent,Yes,Yes,"$4,800"
Tudor,Heritage Black Bay GMT,79830,Excellent,Yes,Yes,"$4,000"
IWC,Pilot,IW3879-05,Excellent,Yes,Yes,"$13,775"
Breitling,Navitimer 01,AB0120,Excellent,No,No,"$5,050"
OMEGA,Seamaster 300M,210.32.42.20.01.001,Excellent,Yes,Yes,"$4,400"
Breitling,Chronomat Evolution,B13356,Excellent,Yes,Yes,"$3,200"
